count	row_share	true	pred
1430	0.0775	crawl_fdesouche_20251003_231247	crawl_er_20251003_231234
695	0.0904	crawl_er_20251003_231234	crawl_fdesouche_20251003_231247
360	0.0195	crawl_fdesouche_20251003_231247	crawl_polemia_20250928_003004
354	0.0192	crawl_fdesouche_20251003_231247	crawl_revperm_20250928_003219
339	0.0184	crawl_fdesouche_20251003_231247	crawl_lo_full_20250928_001323
319	0.0415	crawl_er_20251003_231234	crawl_lundi_am_20250928_003202
313	0.0539	crawl_revperm_20250928_003219	crawl_contretemps_20250928_003525
275	0.0474	crawl_revperm_20250928_003219	crawl_lundi_am_20250928_003202
261	0.0141	crawl_fdesouche_20251003_231247	crawl_lundi_am_20250928_003202
254	0.0330	crawl_er_20251003_231234	crawl_polemia_20250928_003004
225	0.0388	crawl_revperm_20250928_003219	crawl_fdesouche_20251003_231247
221	0.0120	crawl_fdesouche_20251003_231247	crawl_jean_jaures_20250928_003513
209	0.0360	crawl_revperm_20250928_003219	crawl_lo_full_20250928_001323
204	0.0265	crawl_er_20251003_231234	crawl_revperm_20250928_003219
203	0.0350	crawl_revperm_20250928_003219	crawl_er_20251003_231234
189	0.0326	crawl_revperm_20250928_003219	crawl_npa_full_20250928_001251
181	0.0235	crawl_er_20251003_231234	crawl_contretemps_20250928_003525
176	0.0303	crawl_revperm_20250928_003219	crawl_jean_jaures_20250928_003513
170	0.0092	crawl_fdesouche_20251003_231247	crawl_actionfrancaise_20251003_000000
168	0.0219	crawl_er_20251003_231234	crawl_lo_full_20250928_001323
168	0.0091	crawl_fdesouche_20251003_231247	crawl_terranova_20250928_003520
160	0.0208	crawl_er_20251003_231234	crawl_actionfrancaise_20251003_000000
153	0.0083	crawl_fdesouche_20251003_231247	crawl_lfi_full_20250928_000133
145	0.0189	crawl_er_20251003_231234	crawl_terranova_20250928_003520
143	0.0763	crawl_contretemps_20250928_003525	crawl_lundi_am_20250928_003202
136	0.0234	crawl_revperm_20250928_003219	crawl_ucl_20250928_003510
130	0.0224	crawl_revperm_20250928_003219	crawl_lfi_full_20250928_000133
126	0.0164	crawl_er_20251003_231234	crawl_jean_jaures_20250928_003513
123	0.0160	crawl_er_20251003_231234	crawl_initiative_communiste_20250928_003234
122	0.0361	crawl_initiative_communiste_20250928_003234	crawl_contretemps_20250928_003525
121	0.0209	crawl_revperm_20250928_003219	crawl_terranova_20250928_003520
112	0.0941	crawl_jean_jaures_20250928_003513	crawl_terranova_20250928_003520
110	0.0060	crawl_fdesouche_20251003_231247	crawl_ucl_20250928_003510
105	0.0310	crawl_initiative_communiste_20250928_003234	crawl_er_20251003_231234
101	0.0299	crawl_initiative_communiste_20250928_003234	crawl_lundi_am_20250928_003202
95	0.0771	crawl_lundi_am_20250928_003202	crawl_contretemps_20250928_003525
85	0.0046	crawl_fdesouche_20251003_231247	crawl_npa_full_20250928_001251
84	0.0109	crawl_er_20251003_231234	crawl_ucl_20250928_003510
83	0.0108	crawl_er_20251003_231234	crawl_lfi_full_20250928_000133
83	0.0245	crawl_initiative_communiste_20250928_003234	crawl_revperm_20250928_003219
